X1,X2,X3,U1,U2,X_ref1,X_ref2,X_ref3,U_ref1,U_ref2,Timing
0.0439,243.375,0.3295,304.55142773744836,0.08500000000528861,0.878,324.5,0.659,300.0,0.1,0.001696
0.41137016775970414,296.1595673206998,0.3543881814968072,295.3865639162796,0.08500000000549597,0.878,324.5,0.659,300.0,0.1,0.001075
0.6223061414885285,311.98458630459675,0.37927636299327017,293.73238670298815,0.08500000000642847,0.878,324.5,0.659,300.0,0.1,0.000924
0.7434440856511872,317.7447332535642,0.40416454448817885,295.5933358421758,0.08500000000813261,0.878,324.5,0.659,300.0,0.1,0.000925
0.8125128372266329,321.0686243518429,0.42905272598026756,297.5479947818992,0.08500000001101028,0.878,324.5,0.659,300.0,0.1,0.000925
0.8505378317336786,323.5328895006906,0.4539409074675823,298.4834438224178,0.0850000000175454,0.878,324.5,0.659,300.0,0.1,0.000953
0.8697170733363839,325.2824059791864,0.4788290889440502,298.5253107891734,0.08500000003580958,0.878,324.5,0.659,300.0,0.1,0.000819
0.8778963526217403,326.2786543601766,0.5037172703902201,298.29084905978675,0.08500000016344421,0.878,324.5,0.659,300.0,0.1,0.00065
0.8803203924638021,326.63836885285093,0.5286054516246038,298.1530698337519,0.08500000590217727,0.878,324.5,0.659,300.0,0.1,0.000642
0.8802291534138725,326.5588456846999,0.5534936233372264,298.23460493019087,0.0858654788077096,0.878,324.5,0.659,300.0,0.1,0.000667
0.8793619867027785,326.2490450584056,0.5769457919324325,298.4747195032923,0.0890080393281158,0.878,324.5,0.659,300.0,0.1,0.000488
0.8785420506736576,325.8791334996546,0.5951837860860462,298.76385708501164,0.09145217637722682,0.878,324.5,0.659,300.0,0.1,0.000326
0.8780245240325617,325.54570029202966,0.6093664384727978,299.0277282204392,0.09335222529144656,0.878,324.5,0.659,300.0,0.1,0.000325
0.8777791527302469,325.2755745913493,0.6203965067097702,299.2528344879091,0.0948298186274686,0.878,324.5,0.659,300.0,0.1,0.000324
0.8777103337496412,325.0711631853262,0.6289749342041914,299.4325408610047,0.09597965953015752,0.878,324.5,0.659,300.0,0.1,0.000305
0.8777306770620457,324.9218378713465,0.6356455317593831,299.56994136340865,0.09687241188279143,0.878,324.5,0.659,300.0,0.1,0.000305
0.877782695612917,324.813897486202,0.6408348638084324,299.6725792284787,0.09756732370764948,0.878,324.5,0.659,300.0,0.1,0.000317
0.8778362949241699,324.7353272164954,0.6448711897489808,299.74862075593427,0.09810788934252397,0.878,324.5,0.659,300.0,0.1,0.000306
0.8778796213513885,324.6771527800437,0.648010602647093,299.8051024746857,0.09852834309023821,0.878,324.5,0.659,300.0,0.1,0.000303
0.8779105935810086,324.6332112779596,0.6504523935993719,299.8474398008911,0.09885536822251352,0.878,324.5,0.659,300.0,0.1,0.000306
0.8779312295136472,324.5994396416534,0.6523515804950538,299.879546195405,0.09910972467134194,0.878,324.5,0.659,300.0,0.1,0.000305
0.8779445334302989,324.5731721714538,0.6538287360930269,299.90416261008977,0.09930755967524565,0.878,324.5,0.659,300.0,0.1,0.000304
0.8779531314313702,324.55261234580166,0.6549776414586491,299.9232119259299,0.09946291041716329,0.878,324.5,0.659,300.0,0.1,0.000287
0.8779589220352056,324.53650804625,0.6558687869934806,299.9379894447029,0.09958149979789746,0.878,324.5,0.659,300.0,0.1,0.000285
0.8779630403415822,324.52389475719923,0.6565631675928337,299.94950585299534,0.09967412720246784,0.878,324.5,0.659,300.0,0.1,0.000286
0.8779661057208668,324.5140277651165,0.6571038596816688,299.9584912420121,0.09974636216762314,0.878,324.5,0.659,300.0,0.1,0.000286
0.8779684791955955,324.50632460386515,0.6575246986422597,299.96550017838376,0.09980263832408826,0.878,324.5,0.659,300.0,0.1,0.000286
0.8779703616451503,324.5003224539982,0.6578521635230713,299.9709627690858,0.09984645407483224,0.878,324.5,0.659,300.0,0.1,0.000286
0.8779718680179884,324.49565272057225,0.658106928780073,299.97519341414,0.0998805788123951,0.878,324.5,0.659,300.0,0.1,0.000183
0.8779730851936203,324.4920127380926,0.6583050738595949,299.9785078949662,0.09990710120738096,0.878,324.5,0.659,300.0,0.1,0.000189
0.8779740686948502,324.489187678536,0.6584592126604291,299.98108977762115,0.09992773603851678,0.878,324.5,0.659,300.0,0.1,0.000182
0.8779748471350857,324.48699752945726,0.658579113899744,299.98309562060126,0.09994378880439603,0.878,324.5,0.659,300.0,0.1,0.000183
0.8779754500881526,324.485298857419,0.6586723801956748,299.984652363325,0.09995627626903067,0.878,324.5,0.659,300.0,0.1,0.000182
0.8779759097897881,324.4839799422822,0.6587449271391718,314.9999999731375,0.08768039088917551,0.7,337.0,0.75,305.0,0.1,0.001364
0.8670975057705025,331.7693278708268,0.679185771647712,314.99999530986156,0.09037390302458462,0.7,337.0,0.75,305.0,0.1,0.001106
0.8293948846620276,339.85301736775824,0.6951575082286784,301.9347988786321,0.09257563919938332,0.7,337.0,0.75,305.0,0.1,0.001115
0.7683832882985017,343.68634459987726,0.7074760975065827,291.1543944674189,0.09428812292145954,0.7,337.0,0.75,305.0,0.1,0.000957
0.7193618311723784,341.1822971891806,0.7169533130711289,296.993045775621,0.09558144202308623,0.7,337.0,0.75,305.0,0.1,0.000666
0.7006072660058877,338.78299354364293,0.7242846379326103,301.5760326462882,0.09656381249521107,0.7,337.0,0.75,305.0,0.1,0.000435
0.6965554334490893,337.5189456132688,0.7299860018196999,303.8432776081075,0.09732356035672497,0.7,337.0,0.75,305.0,0.1,0.000547
