X1,X2,X3,U1,U2,X_ref1,X_ref2,X_ref3,U_ref1,U_ref2,Timing
0.0439,243.375,0.3295,285.00000009631657,0.08500000000497365,0.878,324.5,0.659,300.0,0.1,0.000239
0.4114674346218142,289.6635313591485,0.354388181497329,285.00000000291243,0.0850000000000724,0.878,324.5,0.659,300.0,0.1,0.000204
0.6238237216260196,305.79523925726977,0.3792763630027959,286.8658585289321,0.0850000000000291,0.878,324.5,0.659,300.0,0.1,0.000104
0.7480650863561487,312.4002110890303,0.4041645445083294,292.88929222459086,0.08500000000000012,0.878,324.5,0.659,300.0,0.1,9.4e-05
0.8203272397361352,317.2348463797063,0.4290527260139073,297.1052118635648,0.08500000000000014,0.878,324.5,0.659,300.0,0.1,9.4e-05
0.8603470617937937,321.0927401793204,0.45394090751948524,299.1225786703911,0.0850000000000002,0.878,324.5,0.659,300.0,0.1,9.4e-05
0.8798526172365362,323.9657777610957,0.47882908902506316,299.6313475386246,0.08500000000000028,0.878,324.5,0.659,300.0,0.1,9.4e-05
0.8867007264399006,325.86551618272637,0.5037172705306394,299.34953485378037,0.0850000000000005,0.878,324.5,0.659,300.0,0.1,0.000101
0.8865891913928547,326.8663811402807,0.5286054520362062,298.84058647778363,0.08500000000000175,0.878,324.5,0.659,300.0,0.1,9.4e-05
0.8835896885173546,327.1153995018291,0.5534936335417731,298.4670481330593,0.08586961872497112,0.878,324.5,0.659,300.0,0.1,9.4e-05
0.8802736564005614,326.84049525709315,0.5769389331361887,298.3716825653333,0.08901237759756485,0.878,324.5,0.659,300.0,0.1,7.5e-05
0.8779161195956818,326.31867883352646,0.595169729180627,298.5211863751671,0.09145490303661347,0.878,324.5,0.659,300.0,0.1,7.5e-05
0.8767634997026497,325.78120878264275,0.6093478574611335,298.8014565614156,0.09335345219914375,0.878,324.5,0.659,300.0,0.1,6.6e-05
0.8765021475700973,325.34921683549464,0.6203758899980307,299.10347215099046,0.09482962001708861,0.878,324.5,0.659,300.0,0.1,6.6e-05
0.8767140639860839,325.052011376566,0.6289546470291831,299.36231259664606,0.09597773984800151,0.878,324.5,0.659,300.0,0.1,6.6e-05
0.8770797245670998,324.8684053060946,0.6356284297442218,299.5560337596269,0.09687091509329801,0.878,324.5,0.659,300.0,0.1,6.6e-05
0.877419121114786,324.7620102980511,0.640820245284506,299.68883211408433,0.09756585007301337,0.878,324.5,0.659,300.0,0.1,5.7e-05
0.8776625034085899,324.7004123852658,0.6448590162974657,299.77529889108405,0.09810650938262427,0.878,324.5,0.659,300.0,0.1,5.8e-05
0.8778055561578012,324.66143643935953,0.6480007188417616,299.830866365264,0.09852715549705379,0.878,324.5,0.659,300.0,0.1,6.9e-05
0.877872480528466,324.63260377456805,0.6504444802630063,299.86768292823956,0.09885439386175766,0.878,324.5,0.659,300.0,0.1,5.7e-05
