X1,X2,X3,U1,U2,X_ref1,X_ref2,X_ref3,U_ref1,U_ref2,Timing
0.0439,243.375,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.4219410884396803,295.5184019806548,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.6466466908291074,314.83843217919815,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.7724941732429222,323.43651746276385,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.8361853824558233,328.5751149966119,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.8615954369723746,332.5951096306336,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.8620772533533766,336.5279610271212,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.8416474046874143,341.44918514226487,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.783699809793762,351.1479461438256,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.03570103908122396,480.56392857521206,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.008503611058679405,447.37241293062624,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.016746175245195647,432.2914086487565,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.02164798714375151,426.9306030198908,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.023605616080342975,425.1790231831489,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.024253213840375955,424.63829354883217,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.024452672477138757,424.475348182594,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.02451268401832484,424.4266466987634,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.024530610357264924,424.4121277389867,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.02453595364526022,424.4078026519763,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.024537545285278062,424.4065145378246,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.024538019306132405,424.4061309329773,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.024538160470511917,424.40601669646054,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.02453820250883431,424.40598267733253,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.024538215027655262,424.4059725466052,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.024538218755697314,424.40596952972686,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.024538219865888805,424.4059686313162,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.024538220196498536,424.40596836377375,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.024538220294952753,424.40596828410077,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.024538220324270683,424.4059682603755,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.024538220333002198,424.4059682533097,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.024538220335601695,424.4059682512061,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.02453822033637625,424.4059682505793,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.024538220336607054,424.4059682503924,0.3295,300.0,0.1,0.878,324.5,0.659,300.0,0.1,0.0
0.024538220336675604,424.40596825033685,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.022385960282097907,426.39906970100407,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021718728416696167,427.0080240509522,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.02152032713474739,427.1935322880754,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021459860973849675,427.2504841514774,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021441296726413588,427.26800866413356,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.02143558433204074,427.2734048387207,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433825360640178,427.27506679157995,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433283619737106,427.2755786854371,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.02143311675948909,427.2757363557439,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433065364250357,427.2757849206559,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433049533714825,427.2757998794352,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.02143304465765404,427.2758044869838,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.02143304315574724,427.27580590618464,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.02143304269313545,427.2758063433215,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.02143304255064362,427.27580647796685,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433042506753142,427.2758065194403,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433042493234737,427.27580653221435,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.0214330424890706,427.2758065361492,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433042487787258,427.27580653736186,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433042487392535,427.275806537735,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433042487271133,427.2758065378498,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433042487232642,427.2758065378861,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433042487223827,427.2758065378939,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433042487223827,427.2758065378939,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433042487223827,427.2758065378939,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433042487223827,427.2758065378939,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433042487223827,427.2758065378939,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433042487223827,427.2758065378939,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433042487223827,427.2758065378939,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433042487223827,427.2758065378939,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433042487223827,427.2758065378939,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
0.021433042487223827,427.2758065378939,0.3295,305.0,0.1,0.7,337.0,0.75,305.0,0.1,0.0
